Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-04-20,804.46435546875,807.134801181368,801.8179329013308,804.368086679066,32922716
2023-04-21,805.7634887695312,806.8942212156402,800.3022466466929,803.0689611623811,20128618
2023-04-24,812.2833251953125,813.8711434821779,805.5228950106629,811.729970551708,35675852
2023-04-25,800.7353515625,812.0668172386956,799.6527240862603,812.0668172386956,50353068
2023-04-26,804.4161987304688,805.9559119034689,796.3325577314871,798.7383962744825,27392750
2023-04-27,808.8429565429688,810.8879194015693,801.5532536644629,803.7906953628967,47790392
2023-04-28,812.0186767578125,813.6546588421882,803.5501361717647,810.6232785465422,27916272
2023-05-02,811.8502807617188,817.5040017864336,809.3241500911014,812.547950500037,32221184
2023-05-03,814.689208984375,816.0605253605099,808.1934441893474,810.7435980893194,29407270
2023-05-04,831.3616943359375,834.5614130090665,811.7781309061464,811.7781309061464,56854638
2023-05-05,782.2103271484375,799.1955126698393,780.5021582230617,788.6339045566583,62770416
2023-05-08,791.2562866210938,794.0951881063704,784.3034360962322,786.7092748572636,37244524
2023-05-09,791.2803344726562,796.8137633850524,789.0909977997552,793.878651970084,43688938
2023-05-10,794.9371948242188,796.1641960299875,785.7950079560763,791.2803318242208,46340550
2023-05-11,795.4664916992188,812.2111527020498,793.5659026029952,801.2164814876731,35734618
2023-05-12,802.4916381835938,804.8974770572269,791.1601135942614,792.4833249747595,22478760
2023-05-15,806.3410034179688,808.7227604763904,801.1924728395238,804.5125423272495,18512260
2023-05-16,801.7174072265625,813.641207320555,800.1113205928083,813.641207320555,32722086
2023-05-17,797.4102172851562,803.0314612780545,791.0346460503185,803.0314612780545,30466868
2023-05-18,800.5980224609375,804.953835962047,798.1645938212387,802.0580796447568,49646942
2023-05-19,801.5227661132812,803.0314800422937,794.0521518021368,802.0581085513332,30460332
2023-05-22,798.6757202148438,804.4429348055172,794.6118464382748,800.5981052751066,28334032
2023-05-23,796.8018798828125,802.8367950174272,794.9768083346355,802.5447954516952,22470074
2023-05-24,786.3868408203125,795.6095118101778,785.3160965486113,792.1053982534182,33588112
2023-05-25,783.3693237304688,788.455225154943,777.407423655138,786.3380947431477,29776930
2023-05-26,786.3868408203125,787.944211421121,779.7922252930767,787.944211421121,26635066
2023-05-29,795.9744873046875,798.6512587386072,790.7912725552128,792.5676872978805,21816292
2023-05-30,796.5828857421875,799.4543434930372,792.5920864341458,795.0498137776772,37125928
2023-05-31,783.9777221679688,795.706836766176,780.9602943063138,793.249109394473,43334270
2023-06-01,780.6439208984375,788.3822359863269,778.6971779535536,788.3822359863269,50366938
2023-06-02,781.8606567382812,785.9001722239442,779.1838851154611,784.7564131844704,17859710
2023-06-05,780.838623046875,786.7275086936293,779.889550195903,785.7541372012771,18697242
2023-06-06,778.4051513671875,783.4909933701617,774.9253365920524,782.4203085516023,32182852
2023-06-07,782.444580078125,784.805053262948,776.7503811233141,780.3761658426776,24949026
2023-06-08,782.9312744140625,791.350960923385,780.278861070367,780.278861070367,37395522
2023-06-09,783.8560180664062,787.7008471820789,782.1039613355581,786.4354761770152,18212578
2023-06-12,779.0864868164062,786.3867722647989,778.4294135981509,784.8050437509804,13408292
2023-06-13,780.4005737304688,783.0773452649356,773.8789730190645,773.8789730190645,27926108
2023-06-14,779.5488891601562,784.5374180278894,778.7945024942541,783.7830313619872,20113968
2023-06-15,769.961181640625,781.5929230405386,768.4767664026215,780.6439096325554,35377476
2023-06-16,780.0355834960938,783.1746828103192,770.9102257106925,772.4432977006162,15779272
2023-06-19,780.7169799804688,785.6324943134937,777.8941787861185,784.0507655809437,24829146
2023-06-20,782.3472900390625,784.0506900484788,774.146647589991,780.7169047691681,20005626
2023-06-21,796.0231323242188,796.8261756245972,784.050675786365,786.4841043269806,24308946
2023-06-22,799.9166259765625,806.7059273185989,797.702241628417,798.1645692917998,56596140
2023-06-23,799.8679809570312,807.8496386483743,795.2688246661945,796.9722246864862,21339218
2023-06-26,795.9989013671875,803.396500995714,792.6650564551716,800.598057936059,16130314
2023-06-27,807.2169799804688,814.1766100290189,797.4589662553369,799.6003360457688,33831864
2023-06-28,815.7583618164062,817.5834334461853,808.1417176661517,812.7652324615918,59562950
2023-06-30,828.047119140625,831.6486054517263,819.2137611926184,829.3124901661796,40699016
2023-07-03,837.002197265625,855.3502267293802,832.2326530339916,833.449367439012,44104116
2023-07-04,841.0902709960938,850.2399866599931,834.0820438772298,838.778513734139,38795188
2023-07-05,814.3712768554688,837.0994772709068,812.0595195781218,835.2744057361592,37165754
2023-07-06,815.1986083984375,821.4525082286525,808.0930085295972,814.2252369257229,52156544
2023-07-07,808.093017578125,815.1986175265295,806.0976179186929,810.3317601084606,19926336
2023-07-10,806.1705932617188,816.0503378295722,802.8854644229833,808.3850372058562,38398442
2023-07-11,802.2527465820312,815.6852604691176,800.8413461228718,809.3583461576029,50670426
2023-07-12,794.7335205078125,810.9645387950601,791.9107786303803,805.6352938593309,70958358
2023-07-13,798.699951171875,806.6572510904781,797.2155953198356,806.2922367876993,41913546
2023-07-14,800.3546752929688,804.7835035114284,795.7311609024043,804.7835035114284,24727214
2023-07-17,817.0966796875,818.6053935606003,794.7577929158504,803.0314502823962,49252928
2023-07-18,816.415283203125,829.3124545920268,812.7651403572094,826.3923403152943,81076818
2023-07-19,820.1141357421875,821.8905505906512,815.1986216073076,818.1673927652148,32935134
2023-07-20,821.8905639648438,823.4722926593728,817.6320636334198,818.1917641303833,56210948
2023-07-21,815.5635986328125,822.4015567907909,814.3468843278255,817.6320129512904,42154248
2023-07-24,816.8533325195312,819.8951183000274,812.813817239081,816.9019892100436,32179444
2023-07-25,825.7109985351562,826.879056170404,816.8533420034627,819.8951278192749,55992596
